id,category,Dikte10cm.csv,Dikte1m.csv,tailles.csv
4-7-5VB1034,5VB1034,13.0,5.0,201.0
4-9-GR. CORRIDOR,GR. CORRIDOR,9.5,,104.0
4-11-GR. CORRIDOR,GR. CORRIDOR,6.0,,75.0
4-13-VL. ARDENNEN,VL. ARDENNEN,12.5,7.5,310.0
4-15-VL. ARDENNEN,VL. ARDENNEN,12.0,7.5,310.0
4-17-GR. CORRIDOR,GR. CORRIDOR,11.0,7.5,313.0
4-19-GR. CORRIDOR,GR. CORRIDOR,12.0,6.5,232.0
4-21-GR. CORRIDOR,GR. CORRIDOR,6.0,,105.0
4-23-GR. CORRIDOR,GR. CORRIDOR,15.5,3.5,198.0
4-25-GR. CORRIDOR,GR. CORRIDOR,10.0,,85.0
4-27-GR. CORRIDOR,GR. CORRIDOR,9.0,,103.0
4-29-5VB1051,5VB1051,11.0,6.5,231.0
4-31-5VB1051,5VB1051,12.0,4.0,210.0
4-33-5VB1051,5VB1051,8.0,3.0,177.0
4-35-5VB1051,5VB1051,12.0,3.0,151.0
4-37-5VB1051,5VB1051,19.0,13.5,387.0
4-39-5VB1051,5VB1051,19.5,12.5,333.0
4-41-HONGARIJE,HONGARIJE,11.0,,88.0
4-43-HONGARIJE,HONGARIJE,9.0,4.0,257.0
4-45-HONGARIJE,HONGARIJE,8.0,3.5,203.0
4-47-HONGARIJE,HONGARIJE,6.5,2.5,170.0
5-7-GR. CORRIDOR,GR. CORRIDOR,9.0,1.0,122.0
5-9-GR. CORRIDOR,GR. CORRIDOR,3.5,,100.0
5-11-GR. CORRIDOR,GR. CORRIDOR,7.5,1.0,150.0
5-13-VL. ARDENNEN,VL. ARDENNEN,13.0,8.5,260.0
5-15-VL. ARDENNEN,VL. ARDENNEN,10.0,4.0,234.0
5-17-GR. CORRIDOR,GR. CORRIDOR,16.0,10.5,304.0
5-19-GR. CORRIDOR,GR. CORRIDOR,13.0,6.5,255.0
5-21-GR. CORRIDOR,GR. CORRIDOR,15.0,6.0,263.0
5-23-GR. CORRIDOR,GR. CORRIDOR,12.0,6.0,205.0
5-25-GR. CORRIDOR,GR. CORRIDOR,13.0,6.0,301.0
5-27-GR. CORRIDOR,GR. CORRIDOR,7.0,,99.0
5-29-5VB1051,5VB1051,13.0,6.0,235.0
5-31-5VB1051,5VB1051,11.5,4.5,185.0
5-33-5VB1051,5VB1051,11.0,3.5,225.0
5-35-5VB1051,5VB1051,12.0,2.5,132.0
5-37-5VB1051,5VB1051,19.0,13.5,388.0
5-39-5VB1051,5VB1051,15.0,8.0,349.0
5-41-HONGARIJE,HONGARIJE,13.0,6.5,255.0
5-43-HONGARIJE,HONGARIJE,7.0,4.0,209.0
5-45-HONGARIJE,HONGARIJE,7.5,2.0,139.0
5-47-HONGARIJE,HONGARIJE,7.0,3.0,189.0
6-13-VL. ARDENNEN,VL. ARDENNEN,5.5,,55.0
6-15-VL. ARDENNEN,VL. ARDENNEN,2.0,,
6-17-GR. CORRIDOR,GR. CORRIDOR,15.0,9.0,390.0
6-19-GR. CORRIDOR,GR. CORRIDOR,11.0,3.5,239.0
6-21-GR. CORRIDOR,GR. CORRIDOR,14.0,7.0,312.0
6-23-GR. CORRIDOR,GR. CORRIDOR,13.0,8.5,343.0
6-25-GR. CORRIDOR,GR. CORRIDOR,10.0,3.0,206.0
6-27-GR. CORRIDOR,GR. CORRIDOR,8.0,2.5,187.0
6-29-5VB1051,5VB1051,8.0,3.0,155.0
6-31-5VB1051,5VB1051,11.5,,65.0
6-33-5VB1051,5VB1051,9.0,2.5,157.0
6-35-5VB1051,5VB1051,11.5,7.0,240.0
6-37-5VB1051,5VB1051,11.0,,102.0
6-39-5VB1051,5VB1051,13.5,6.5,182.0
6-41-HONGARIJE,HONGARIJE,13.0,8.5,291.0
6-43-HONGARIJE,HONGARIJE,15.0,9.5,270.0
6-45-HONGARIJE,HONGARIJE,7.5,3.0,166.0
6-47-HONGARIJE,HONGARIJE,8.0,4.0,204.0
7-7-GR. CORRIDOR,GR. CORRIDOR,9.0,5.0,243.0
7-11-GR. CORRIDOR,GR. CORRIDOR,8.0,3.5,201.0
7-15-VL. ARDENNEN,VL. ARDENNEN,11.5,3.0,171.0
7-17-GR. CORRIDOR,GR. CORRIDOR,16.0,10.0,361.0
7-19-GR. CORRIDOR,GR. CORRIDOR,14.0,8.0,308.0
7-21-GR. CORRIDOR,GR. CORRIDOR,15.5,7.5,256.0
7-23-GR. CORRIDOR,GR. CORRIDOR,11.5,6.0,241.0
7-25-GR. CORRIDOR,GR. CORRIDOR,11.5,,95.0
7-27-GR. CORRIDOR,GR. CORRIDOR,13.0,7.0,185.0
7-29-5VB1051,5VB1051,11.0,1.5,163.0
7-31-5VB1051,5VB1051,13.0,,100.0
7-33-5VB1051,5VB1051,12.0,5.5,289.0
7-35-5VB1051,5VB1051,13.0,4.0,212.0
7-37-5VB1051,5VB1051,10.0,4.0,206.0
7-39-5VB1051,5VB1051,10.0,8.0,299.0
7-41-HONGARIJE,HONGARIJE,11.5,6.5,278.0
7-43-HONGARIJE,HONGARIJE,6.0,,99.0
7-45-HONGARIJE,HONGARIJE,9.5,3.5,187.0
7-47-HONGARIJE,HONGARIJE,4.5,0.5,135.0
8-11-VL. ARDENNEN,VL. ARDENNEN,11.5,3.5,167.0
8-13-VL. ARDENNEN,VL. ARDENNEN,8.0,2.5,187.0
8-15-VL. ARDENNEN,VL. ARDENNEN,9.5,2.5,165.0
8-17-GR. CORRIDOR,GR. CORRIDOR,14.5,9.5,330.0
8-19-GR. CORRIDOR,GR. CORRIDOR,16.5,9.5,363.0
8-21-GR. CORRIDOR,GR. CORRIDOR,17.0,11.0,376.0
8-23-GR. CORRIDOR,GR. CORRIDOR,9.0,5.0,245.0
8-25-GR. CORRIDOR,GR. CORRIDOR,10.0,4.5,160.0
8-27-GR. CORRIDOR,GR. CORRIDOR,10.5,3.5,173.0
8-29-5VB1051,5VB1051,13.0,1.0,155.0
8-31-5VB1051,5VB1051,14.0,4.5,230.0
8-33-5VB1051,5VB1051,13.0,8.5,314.0
8-35-5VB1051,5VB1051,12.0,5.5,290.0
8-37-5VB1051,5VB1051,12.0,7.0,254.0
