id,category,vormscore.csvdt,vormscore.csvvorm,vormscore.csvztak,vormscore.csvalgtak,vormscore.csvtakhoek,vormscore.csvopslag
4-7-5VB1034,5VB1034,1.0,2.0,1.0,3.0,3.0,3.0
4-9-GR. CORRIDOR,GR. CORRIDOR,0.0,2.0,1.0,2.0,2.0,3.0
4-11-GR. CORRIDOR,GR. CORRIDOR,0.0,3.0,1.0,2.0,1.0,2.0
4-13-VL. ARDENNEN,VL. ARDENNEN,1.0,3.0,1.0,2.0,2.0,3.0
4-15-VL. ARDENNEN,VL. ARDENNEN,0.0,1.0,0.0,2.0,1.0,2.0
4-17-GR. CORRIDOR,GR. CORRIDOR,0.0,1.0,0.0,1.0,1.0,3.0
4-19-GR. CORRIDOR,GR. CORRIDOR,0.0,2.0,1.0,2.0,2.0,3.0
4-21-GR. CORRIDOR,GR. CORRIDOR,0.0,2.0,0.0,2.0,1.0,3.0
4-23-GR. CORRIDOR,GR. CORRIDOR,1.0,1.0,1.0,3.0,2.0,3.0
4-25-GR. CORRIDOR,GR. CORRIDOR,1.0,1.0,0.0,3.0,2.0,3.0
4-27-GR. CORRIDOR,GR. CORRIDOR,0.0,1.0,1.0,3.0,3.0,1.0
4-29-5VB1051,5VB1051,1.0,1.0,0.0,2.0,2.0,3.0
4-31-5VB1051,5VB1051,1.0,1.0,1.0,3.0,2.0,3.0
4-33-5VB1051,5VB1051,0.0,2.0,1.0,2.0,2.0,2.0
4-35-5VB1051,5VB1051,0.0,2.0,1.0,2.0,2.0,3.0
4-37-5VB1051,5VB1051,1.0,1.0,0.0,2.0,1.0,3.0
4-39-5VB1051,5VB1051,0.0,2.0,0.0,2.0,2.0,3.0
4-53-5VB1034,5VB1034,0.0,2.0,1.0,2.0,3.0,
4-55-5VB1034,5VB1034,0.0,2.0,0.0,2.0,2.0,2.0
4-57-5VB1034,5VB1034,1.0,2.0,1.0,3.0,1.0,3.0
4-59-5VB1034,5VB1034,0.0,1.0,1.0,3.0,2.0,3.0
4-61-5VB1034,5VB1034,1.0,2.0,1.0,2.0,2.0,3.0
4-63-5VB1034,5VB1034,0.0,2.0,0.0,1.0,1.0,3.0
4-65-D04,D04,0.0,1.0,1.0,3.0,1.0,3.0
4-67-D04,D04,0.0,3.0,0.0,2.0,2.0,3.0
4-69-D04,D04,1.0,1.0,1.0,3.0,3.0,3.0
4-71-D04,D04,0.0,3.0,0.0,2.0,2.0,3.0
4-73-D04,D04,1.0,2.0,1.0,3.0,2.0,3.0
4-77-VL. ARDENNEN,VL. ARDENNEN,0.0,2.0,0.0,3.0,3.0,3.0
4-79-VL. ARDENNEN,VL. ARDENNEN,1.0,2.0,1.0,1.0,3.0,3.0
4-81-VL. ARDENNEN,VL. ARDENNEN,1.0,1.0,1.0,3.0,3.0,3.0
4-83-VL. ARDENNEN,VL. ARDENNEN,0.0,2.0,0.0,2.0,1.0,2.0
4-85-VL. ARDENNEN,VL. ARDENNEN,0.0,1.0,0.0,2.0,1.0,3.0
4-87-VL. ARDENNEN,VL. ARDENNEN,0.0,2.0,1.0,3.0,2.0,3.0
5-7-GR. CORRIDOR,GR. CORRIDOR,0.0,3.0,1.0,3.0,2.0,3.0
5-9-GR. CORRIDOR,GR. CORRIDOR,0.0,3.0,0.0,2.0,2.0,1.0
5-11-GR. CORRIDOR,GR. CORRIDOR,0.0,3.0,0.0,2.0,2.0,3.0
5-13-VL. ARDENNEN,VL. ARDENNEN,0.0,2.0,0.0,2.0,1.0,3.0
5-15-VL. ARDENNEN,VL. ARDENNEN,1.0,3.0,1.0,1.0,2.0,3.0
5-17-GR. CORRIDOR,GR. CORRIDOR,0.0,3.0,0.0,2.0,2.0,3.0
5-19-GR. CORRIDOR,GR. CORRIDOR,1.0,2.0,1.0,2.0,2.0,3.0
5-21-GR. CORRIDOR,GR. CORRIDOR,0.0,1.0,1.0,2.0,2.0,2.0
5-23-GR. CORRIDOR,GR. CORRIDOR,0.0,2.0,0.0,2.0,2.0,3.0
5-25-GR. CORRIDOR,GR. CORRIDOR,1.0,2.0,0.0,2.0,2.0,2.0
5-27-GR. CORRIDOR,GR. CORRIDOR,0.0,1.0,1.0,3.0,2.0,1.0
5-29-5VB1051,5VB1051,0.0,1.0,0.0,1.0,2.0,3.0
5-31-5VB1051,5VB1051,1.0,1.0,1.0,3.0,3.0,2.0
5-33-5VB1051,5VB1051,0.0,2.0,1.0,1.0,2.0,3.0
5-35-5VB1051,5VB1051,0.0,2.0,0.0,3.0,2.0,3.0
5-37-5VB1051,5VB1051,1.0,1.0,0.0,2.0,1.0,3.0
5-39-5VB1051,5VB1051,0.0,2.0,0.0,2.0,2.0,2.0
5-53-5VB1034,5VB1034,0.0,1.0,0.0,2.0,2.0,3.0
5-55-5VB1034,5VB1034,1.0,3.0,0.0,2.0,3.0,3.0
5-57-5VB1034,5VB1034,0.0,2.0,1.0,2.0,2.0,3.0
5-59-5VB1034,5VB1034,0.0,2.0,0.0,1.0,3.0,3.0
5-61-5VB1034,5VB1034,0.0,3.0,0.0,1.0,2.0,3.0
5-63-5VB1034,5VB1034,0.0,1.0,1.0,2.0,1.0,3.0
5-65-D04,D04,1.0,1.0,1.0,3.0,2.0,3.0
5-67-D04,D04,0.0,2.0,0.0,2.0,2.0,3.0
5-69-D04,D04,1.0,1.0,1.0,3.0,2.0,3.0
5-71-D04,D04,0.0,2.0,0.0,2.0,1.0,3.0
5-73-D04,D04,0.0,3.0,1.0,1.0,2.0,3.0
5-75-D04,D04,0.0,1.0,1.0,2.0,1.0,3.0
5-77-VL. ARDENNEN,VL. ARDENNEN,0.0,2.0,0.0,2.0,2.0,3.0
5-79-VL. ARDENNEN,VL. ARDENNEN,1.0,2.0,1.0,2.0,2.0,3.0
5-81-VL. ARDENNEN,VL. ARDENNEN,1.0,1.0,1.0,3.0,3.0,3.0
5-83-VL. ARDENNEN,VL. ARDENNEN,0.0,3.0,0.0,1.0,2.0,2.0
5-85-VL. ARDENNEN,VL. ARDENNEN,1.0,3.0,1.0,2.0,2.0,3.0
5-87-VL. ARDENNEN,VL. ARDENNEN,0.0,3.0,1.0,2.0,2.0,2.0
6-13-VL. ARDENNEN,VL. ARDENNEN,1.0,2.0,0.0,3.0,2.0,3.0
6-17-GR. CORRIDOR,GR. CORRIDOR,1.0,2.0,0.0,3.0,2.0,1.0
6-19-GR. CORRIDOR,GR. CORRIDOR,1.0,3.0,0.0,3.0,2.0,3.0
6-21-GR. CORRIDOR,GR. CORRIDOR,0.0,1.0,0.0,3.0,1.0,1.0
6-23-GR. CORRIDOR,GR. CORRIDOR,0.0,2.0,0.0,1.0,2.0,3.0
6-25-GR. CORRIDOR,GR. CORRIDOR,1.0,2.0,1.0,3.0,2.0,3.0
6-27-GR. CORRIDOR,GR. CORRIDOR,0.0,1.0,0.0,2.0,2.0,3.0
6-29-5VB1051,5VB1051,0.0,2.0,1.0,1.0,2.0,2.0
6-31-5VB1051,5VB1051,1.0,1.0,0.0,3.0,2.0,3.0
6-33-5VB1051,5VB1051,0.0,1.0,0.0,2.0,2.0,2.0
6-35-5VB1051,5VB1051,1.0,1.0,0.0,1.0,2.0,3.0
6-37-5VB1051,5VB1051,1.0,1.0,1.0,3.0,2.0,3.0
6-39-5VB1051,5VB1051,0.0,1.0,0.0,2.0,1.0,3.0
6-53-5VB1034,5VB1034,0.0,2.0,0.0,2.0,1.0,3.0
6-55-5VB1034,5VB1034,0.0,3.0,0.0,2.0,1.0,3.0
6-57-5VB1034,5VB1034,1.0,1.0,0.0,2.0,2.0,3.0
6-59-5VB1034,5VB1034,1.0,2.0,0.0,2.0,3.0,3.0
6-61-5VB1034,5VB1034,0.0,3.0,0.0,2.0,2.0,3.0
6-63-5VB1034,5VB1034,1.0,2.0,1.0,3.0,3.0,3.0
6-65-D04,D04,0.0,2.0,0.0,3.0,2.0,3.0
6-67-D04,D04,0.0,2.0,1.0,2.0,2.0,3.0
6-69-D04,D04,0.0,3.0,0.0,1.0,2.0,3.0
6-71-D04,D04,0.0,3.0,0.0,2.0,2.0,3.0
6-73-D04,D04,0.0,2.0,1.0,2.0,2.0,3.0
6-75-D04,D04,0.0,2.0,0.0,3.0,2.0,3.0
6-77-VL. ARDENNEN,VL. ARDENNEN,0.0,2.0,0.0,2.0,2.0,3.0
6-79-VL. ARDENNEN,VL. ARDENNEN,0.0,2.0,1.0,3.0,2.0,3.0
6-81-VL. ARDENNEN,VL. ARDENNEN,0.0,2.0,0.0,2.0,3.0,3.0
6-83-VL. ARDENNEN,VL. ARDENNEN,1.0,2.0,1.0,3.0,3.0,3.0
6-85-VL. ARDENNEN,VL. ARDENNEN,1.0,2.0,0.0,2.0,2.0,2.0
6-87-VL. ARDENNEN,VL. ARDENNEN,0.0,1.0,0.0,3.0,1.0,3.0
