4-7-5VB1034,4,7,5VB1034,13.0
4-9-Gr. corridor,4,9,Gr. corridor,9.5
4-11-Gr. corridor,4,11,Gr. corridor,6.0
4-13-Vl. Ardennen,4,13,Vl. Ardennen,12.5
4-15-Vl. Ardennen,4,15,Vl. Ardennen,12.0
4-17-Gr. corridor,4,17,Gr. corridor,11.0
4-19-Gr. corridor,4,19,Gr. corridor,12.0
4-21-Gr. corridor,4,21,Gr. corridor,6.0
4-23-Gr. corridor,4,23,Gr. corridor,15.5
4-25-Gr. corridor,4,25,Gr. corridor,10.0
4-27-Gr. corridor,4,27,Gr. corridor,9.0
4-29-5VB1051,4,29,5VB1051,11.0
4-31-5VB1051,4,31,5VB1051,12.0
4-33-5VB1051,4,33,5VB1051,8.0
4-35-5VB1051,4,35,5VB1051,12.0
4-37-5VB1051,4,37,5VB1051,19.0
4-39-5VB1051,4,39,5VB1051,19.5
5-7-Gr. corridor,5,7,Gr. corridor,9.0
5-9-Gr. corridor,5,9,Gr. corridor,3.5
5-11-Gr. corridor,5,11,Gr. corridor,7.5
5-13-Vl. Ardennen,5,13,Vl. Ardennen,13.0
5-15-Vl. Ardennen,5,15,Vl. Ardennen,10.0
5-17-gr. corridor,5,17,gr. corridor,16.0
5-19-gr. corridor,5,19,gr. corridor,13.0
5-21-gr. corridor,5,21,gr. corridor,15.0
5-23-gr. corridor,5,23,gr. corridor,12.0
5-25-gr. corridor,5,25,gr. corridor,13.0
5-27-gr. corridor,5,27,gr. corridor,7.0
5-29-5VB1051,5,29,5VB1051,13.0
5-31-5VB1051,5,31,5VB1051,11.5
5-33-5VB1051,5,33,5VB1051,11.0
5-35-5VB1051,5,35,5VB1051,12.0
5-37-5VB1051,5,37,5VB1051,19.0
5-39-5VB1051,5,39,5VB1051,15.0
6-7-?,6,7,?,9.0
6-9-?,6,9,?,17.0
6-11-?,6,11,?,9.5
6-13-Vl. Ardennen,6,13,Vl. Ardennen,5.5
6-15-Vl. Ardennen,6,15,Vl. Ardennen,2.0
6-17-Gr. corridor,6,17,Gr. corridor,15.0
6-19-Gr. corridor,6,19,Gr. corridor,11.0
6-21-Gr. corridor,6,21,Gr. corridor,14.0
6-23-Gr. corridor,6,23,Gr. corridor,13.0
6-25-Gr. corridor,6,25,Gr. corridor,10.0
6-27-Gr. corridor,6,27,Gr. corridor,8.0
6-29-5VB1051,6,29,5VB1051,8.0
6-31-5VB1051,6,31,5VB1051,11.5
6-33-5VB1051,6,33,5VB1051,9.0
6-35-5VB1051,6,35,5VB1051,11.5
6-37-5VB1051,6,37,5VB1051,11.0
6-39-5VB1051,6,39,5VB1051,13.5
7-7-Gr. corridor,7,7,Gr. corridor,9.0
7-9-?,7,9,?,7.5
7-11-Gr. corridor,7,11,Gr. corridor,8.0
7-13-?,7,13,?,12.0
7-15-Vl. Ardennen,7,15,Vl. Ardennen,11.5
7-17-gr. corridor,7,17,gr. corridor,16.0
7-19-gr. corridor,7,19,gr. corridor,14.0
7-21-gr. corridor,7,21,gr. corridor,15.5
7-23-gr. corridor,7,23,gr. corridor,11.5
7-25-gr. corridor,7,25,gr. corridor,11.5
7-27-gr. corridor,7,27,gr. corridor,13.0
7-29-5VB1051,7,29,5VB1051,11.0
7-31-5VB1051,7,31,5VB1051,13.0
7-33-5VB1051,7,33,5VB1051,12.0
7-35-5VB1051,7,35,5VB1051,13.0
7-37-5VB1051,7,37,5VB1051,10.0
7-39-5VB1051,7,39,5VB1051,10.0
8-7-?,8,7,?,14.0
8-9-?,8,9,?,8.0
8-11-Vl. Ardennen,8,11,Vl. Ardennen,11.5
8-13-Vl. Ardennen,8,13,Vl. Ardennen,8.0
8-15-Vl. Ardennen,8,15,Vl. Ardennen,9.5
8-17-Gr. corridor,8,17,Gr. corridor,14.5
8-19-Gr. corridor,8,19,Gr. corridor,16.5
8-21-Gr. corridor,8,21,Gr. corridor,17.0
8-23-Gr. corridor,8,23,Gr. corridor,9.0
8-25-Gr. corridor,8,25,Gr. corridor,10.0
8-27-Gr. corridor,8,27,Gr. corridor,10.5
8-29-5VB1051,8,29,5VB1051,13.0
8-31-5VB1051,8,31,5VB1051,14.0
8-33-5VB1051,8,33,5VB1051,13.0
8-35-5VB1051,8,35,5VB1051,12.0
8-37-5VB1051,8,37,5VB1051,12.0
