category,type,mean,median,percentile 25,percentile 75,ecart type,variance,min,max,sum,length
5VB1034,vormscore.csvdt,0.46296296296296297,0.0,0.0,1.0,0.49862637103097246,0.248628257887517,0.0,1.0,50.0,108
5VB1034,vormscore.csvvorm,1.8796296296296295,2.0,1.0,2.0,0.6486109458851937,0.42069615912208574,1.0,3.0,203.0,108
5VB1034,vormscore.csvztak,0.37037037037037035,0.0,0.0,1.0,0.5373562269832195,0.28875171467764127,0.0,3.0,40.0,108
5VB1034,vormscore.csvalgtak,2.0833333333333335,2.0,2.0,3.0,0.6821127309893708,0.46527777777777773,1.0,3.0,225.0,108
5VB1034,vormscore.csvtakhoek,1.7685185185185186,2.0,1.0,2.0,0.632550414935318,0.40012002743484304,1.0,3.0,191.0,108
5VB1034,vormscore.csvopslag,2.9065420560747666,3.0,3.0,3.0,0.3752310261660701,0.140798322997642,1.0,3.0,311.0,107
GR. CORRIDOR,vormscore.csvdt,0.3130434782608696,0.0,0.0,1.0,0.4637318826425529,0.21504725897920646,0.0,1.0,36.0,115
GR. CORRIDOR,vormscore.csvvorm,1.817391304347826,2.0,1.0,2.0,0.6670194403744379,0.44491493383742836,1.0,3.0,209.0,115
GR. CORRIDOR,vormscore.csvztak,0.4260869565217391,0.0,0.0,1.0,0.5447116439431594,0.29671077504725923,0.0,3.0,49.0,115
GR. CORRIDOR,vormscore.csvalgtak,2.1565217391304348,2.0,2.0,3.0,0.6671327923066656,0.4450661625708885,1.0,3.0,248.0,115
GR. CORRIDOR,vormscore.csvtakhoek,2.130434782608696,2.0,2.0,2.0,2.023865174794677,4.096030245746689,1.0,23.0,245.0,115
GR. CORRIDOR,vormscore.csvopslag,2.5929203539823007,3.0,2.0,3.0,0.6993950374682917,0.48915341843527316,1.0,3.0,293.0,113
VL. ARDENNEN,vormscore.csvdt,0.39344262295081966,0.0,0.0,1.0,0.4885135877295525,0.2386455253963992,0.0,1.0,48.0,122
VL. ARDENNEN,vormscore.csvvorm,1.9344262295081966,2.0,1.0,2.0,0.6743266820066603,0.45471647406611165,1.0,3.0,236.0,122
VL. ARDENNEN,vormscore.csvztak,0.4672131147540984,0.0,0.0,1.0,0.5150907325693429,0.2653184627788224,0.0,2.0,57.0,122
